Youtuber,Country,highest_monthly_earnings
Ray William Johnson,United States,1300000
KOMPASTV,Indonesia,452300
ISSEI / ï¿½ï¿½ï¿½ï¿½,Japan,1100000
Zï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,Brazil,731500
A2 Motivation by Arvind Arora,India,522900
50 Cent,United States,479200
MNCTV OFFICIAL,Indonesia,174300
ERB,United States,44200
melanie martinez,United States,225400
iTownGamePlay *Terror&Diversiï¿½ï,Spain,55400
ýýýýýýýýýýýý8 : Thai Ch8,Thailand,198200
ZutiGang,nan,1400000
ýýýýýý,Russia,31
TazerCraft,Brazil,159100
Bayashi TV,Japan,10
Fueled By Ramen,United States,244800
CrashCourse,United States,28700
MattyBRaps,United States,91900
Lachlan,Australia,84300
ýýýýýýýý ýýýýýýýý,Ukraine,188500
Meghan Trainor,United States,206600
Jorge & Mateus Oficial,Brazil,352500
Major Lazer Official,nan,0
Beast Philanthropy,Germany,152
Filaretiki,United States,4800000
5-Minute Crafts Recycle,United States,212700
ýýýýýýýýýý ýýýýýýýýýýýý,Saudi Arabia,10800
Maha Fun Tv,United States,19100
Canal Nostalgia,Spain,906
The Slow Mo Guys,United States,75900
StudyIQ IAS,India,297900
Chad Wild Clay,United States,145400
CollegeHumor,United States,0
Netflix Jr.,United States,317600
Colors Rishtey,India,1400000
ABC News,United States,742800
Camila Loures,Brazil,163900
Doc Tops,Ecuador,65600
Auron,Spain,242300
Jesser,United States,370400
Planeta das Gï¿½ï¿½,Brazil,42200
PrestonPlayz,United States,606800
Martin Garrix,United States,142100
O Reino Infantil,Brazil,439500
Fifth Harmony,United States,150500
Mis Pastelitos,Mexico,202700
Noman Official,India,556500
LEGENDA FUNK,Brazil,0
Like Nastya Stories,United States,119800
les boys tv2,United States,1800
Lotus Music,India,92100
IDEIAS INCRï¿½ï¿½,Brazil,11400
Reaction Time,United States,39600
BBC News,United Kingdom,265100
Eli Kids - Cartoons & Songs,United States,597000
Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,South Korea,19800
Aadishakti Films,India,193800
Telemundo,United States,193100
GMM25Thailand,Thailand,182500
TV9 Bharatvarsh,India,1700000
Maroon5VEVO,United States,392700
Saad Lamjarred | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Morocco,150300
Hear This Music,nan,192800
Lilly Singh,Canada,21300
ýýýýýýýýýýýýýýýýýýýýý,South Korea,5500
Gyan Gamingï¿½,India,55600
Drawblogs,Peru,4000
NOBRU,nan,0.01
ýýýýýýýýýýýý ýýýýýýýýýýýý I ýýýýýý ýý ýýýýýýýýýý,Saudi Arabia,18700
Cyprien,France,45700
Rclbeauty101,United States,34500
Coke Studio,United States,14200
Indore Physical Academy,India,281600
Rosanna Pansino,United States,106700
Harry Styles,United States,0
Vlad and Niki PRT,United States,160400
RS 1313 SHORTS,India,850600
Zig & Sharko,nan,250800
SelenaGomezVEVO,United States,354600
ZEE5,India,599200
Super Polina,United States,1700
Rebecca Zamolo,United States,0
Wish 107.5,Philippines,250600
Invento na Hora,Brazil,76100
SIS vs BRO,Ukraine,0.42
NikkieTutorials,Netherlands,143700
TommyInnit,United Kingdom,217200
E-MasterSensei,Mexico,178300
infobells - Kannada,India,566800
Crazy Frog,nan,0
The Dodo,nan,29
SEVENGERS,India,1500000
Zee Bangla,India,239700
DangMattSmith,United States,51600
Neha Kakkar,India,102400
#Refugio Mental,nan,27800
ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,nan,81
Trap City,Australia,0.59
Supercar Blondie,United Arab Emirates,1400000
Yudist Ardhana,Indonesia,704200
Lana Del Rey,United States,542300
MalumaVEVO,United States,395300
F2Freestylers - Ultimate Soccer Skills Channel,United Kingdom,40900
Bie The Ska,Thailand,50000
AM3NlC,Brazil,40800
Narins Beauty,Sweden,54800
TV Ana Emilia,Mexico,107100
ýýýýýýýýýýýý,Russia,602300
